timestamp,date,score
1672538400,2023-01-01 02:00:00,0.7
1672542000,2023-01-01 03:00:00,0.7
1672545600,2023-01-01 04:00:00,0.7
1672549200,2023-01-01 05:00:00,0.7
1672552800,2023-01-01 06:00:00,0.7
1672556400,2023-01-01 07:00:00,0.5
1672560000,2023-01-01 08:00:00,0.5
1672563600,2023-01-01 09:00:00,0.8
1672567200,2023-01-01 10:00:00,0.3
1672570800,2023-01-01 11:00:00,0.55
1672574400,2023-01-01 12:00:00,0.55
1672578000,2023-01-01 13:00:00,0.55
1672581600,2023-01-01 14:00:00,0.65
1672585200,2023-01-01 15:00:00,0.65
1672588800,2023-01-01 16:00:00,0.7
1672592400,2023-01-01 17:00:00,0.7
1672596000,2023-01-01 18:00:00,0.4
1672599600,2023-01-01 19:00:00,0.8
1672603200,2023-01-01 20:00:00,0.8
1672606800,2023-01-01 21:00:00,0.8
1672610400,2023-01-01 22:00:00,0.65
1672614000,2023-01-01 23:00:00,0.7
1672617600,2023-01-02 00:00:00,0.2
1672621200,2023-01-02 01:00:00,0.2
1672624800,2023-01-02 02:00:00,0.2
1672628400,2023-01-02 03:00:00,0.4
1672632000,2023-01-02 04:00:00,0.1
1672635600,2023-01-02 05:00:00,0.1
1672639200,2023-01-02 06:00:00,0.1
1672642800,2023-01-02 07:00:00,0.1
1672646400,2023-01-02 08:00:00,0.55
1672650000,2023-01-02 09:00:00,0.6
1672653600,2023-01-02 10:00:00,0.3
1672657200,2023-01-02 11:00:00,0.3
1672660800,2023-01-02 12:00:00,0.6
1672664400,2023-01-02 13:00:00,0.4
1672668000,2023-01-02 14:00:00,0.1
1672671600,2023-01-02 15:00:00,0.6
1672675200,2023-01-02 16:00:00,0.5
1672678800,2023-01-02 17:00:00,0.55
1672682400,2023-01-02 18:00:00,0.6
1672686000,2023-01-02 19:00:00,0.6
1672689600,2023-01-02 20:00:00,0.5
1672693200,2023-01-02 21:00:00,0.4
1672696800,2023-01-02 22:00:00,0.6
